"calendarYear","metric","med","min","max"
2007-01-01,"RD",0,0,0
2007-01-01,"SA",0.20563371469667,0.0310643385852623,0.405500946207851
2007-01-01,"operatingMargin",0.0706258015448644,0,0.174356858345617
2007-01-01,"ROE",0.252150899592236,-0.30941673588407,1.18186777194294
2007-01-01,"ROIC",0.154132367037562,0.00152559730924723,0.313378448724623
2007-01-01,"CAPEX",0.0359275706339652,0.0120366154438599,0.0688021201147326
2007-01-01,"debt",0.525438960763995,0.239820081095425,0.759274587322616
2007-01-01,"netRepurchasesRevenue",0,-0.012041070229436,0.0515548420132818
2007-01-01,"netInterestExptoOpInc",0,-0.0373786852364897,0
2008-01-01,"RD",0,0,0
2008-01-01,"SA",0.202763769239155,0.010257570284959,0.40779134793281
2008-01-01,"operatingMargin",0.0510757354357063,-0.0527841840287387,0.162286133001065
2008-01-01,"ROE",0.188209917317863,-0.834880246706363,0.844531677452055
2008-01-01,"ROIC",0.140902306358012,-0.166860271512692,0.318984343138114
2008-01-01,"CAPEX",0.0303342330416263,0.0108081662016931,0.0577035595063181
2008-01-01,"debt",0.553066968079395,0.298716590918308,0.776969960316284
2008-01-01,"netRepurchasesRevenue",0,-0.00244375962812531,0.0836346697966532
2008-01-01,"netInterestExptoOpInc",0,-0.109161857885417,0
2009-01-01,"RD",0,0,0
2009-01-01,"SA",0.201064571659021,0.0231752726327491,0.39541458559161
2009-01-01,"operatingMargin",0.0676328527106408,0.00323325429866892,0.186608212401279
2009-01-01,"ROE",0.209923920117004,-0.582955999033862,0.822551606146778
2009-01-01,"ROIC",0.152602008183513,0.00461076900295876,0.348879799044063
2009-01-01,"CAPEX",0.0264547026332298,0.0102211481762501,0.0532025885251535
2009-01-01,"debt",0.508009361571929,0.297807694853428,0.735821976232588
2009-01-01,"netRepurchasesRevenue",0,-0.00153231537103716,0.0227553771166657
2009-01-01,"netInterestExptoOpInc",-0.0755735483204006,-0.245103447144353,0.0102920994586329
2010-01-01,"RD",0,0,0
2010-01-01,"SA",0.203334387625731,0.014507717533883,0.393865396234599
2010-01-01,"operatingMargin",0.0803966873426573,0.0198994657976983,0.197607062455352
2010-01-01,"ROE",0.256393803444736,-0.395784315542741,0.945039412626599
2010-01-01,"ROIC",0.157795981084335,0.0473537603901851,0.439221068227596
2010-01-01,"CAPEX",0.0260561075951437,0.0101677845030343,0.0548618098184449
2010-01-01,"debt",0.529446084154985,0.27161742634907,0.736440353775797
2010-01-01,"netRepurchasesRevenue",0.000508317246745204,-0.00143162517823114,0.0645447854435575
2010-01-01,"netInterestExptoOpInc",-0.083942254396103,-0.300884339159216,0.00147059631172303
2011-01-01,"RD",0,0,0
2011-01-01,"SA",0.207811681466927,0.0240115318020973,0.391563927264784
2011-01-01,"operatingMargin",0.0698047156181607,0,0.191307338234047
2011-01-01,"ROE",0.236502003138694,-1.14807675021252,0.605549837647561
2011-01-01,"ROIC",0.148641855018196,0.00414695834280445,0.413361106681251
2011-01-01,"CAPEX",0.0255502772537628,0.0085186283780945,0.0633599368776357
2011-01-01,"debt",0.550552934384323,0.278988901857948,0.79913788849376
2011-01-01,"netRepurchasesRevenue",0.00165755454325756,-0.000128501670252693,0.0733830965449857
2011-01-01,"netInterestExptoOpInc",-0.0667325351281192,-0.276512743430631,0.0121349278291462
2012-01-01,"RD",0,0,0
2012-01-01,"SA",0.20346243571029,0.0137693839583853,0.405426977810594
2012-01-01,"operatingMargin",0.0810358698580572,0,0.185862930080438
2012-01-01,"ROE",0.294188867496734,-0.37830967735942,1.11086609531515
2012-01-01,"ROIC",0.152683750683342,0.0419690419981311,0.539570570003762
2012-01-01,"CAPEX",0.0256980412016623,0.0103977215629629,0.0663745192467892
2012-01-01,"debt",0.549280833732669,0.27200230429337,0.8431124929665
2012-01-01,"netRepurchasesRevenue",0.00251256274586916,-0.000198069647095991,0.0634089099396345
2012-01-01,"netInterestExptoOpInc",-0.0610097927670743,-0.316159257445081,0.00636216437717297
2013-01-01,"RD",0,0,0
2013-01-01,"SA",0.209112689741379,0.02150954266263,0.412012855024559
2013-01-01,"operatingMargin",0.0783317328490432,0,0.19155512077708
2013-01-01,"ROE",0.227207812756181,-0.583337835398873,0.929700639085099
2013-01-01,"ROIC",0.146500264652091,0,0.410778187752993
2013-01-01,"CAPEX",0.025796178733269,0.0109739711560317,0.0833333333333333
2013-01-01,"debt",0.551020408163265,0.292409919974083,0.826470548223873
2013-01-01,"netRepurchasesRevenue",0.00150882026784943,-0.000700930770860841,0.0443413338000875
2013-01-01,"netInterestExptoOpInc",-0.0757639753176793,-0.274229572206599,0.0142919508670291
2014-01-01,"RD",0,0,0
2014-01-01,"SA",0.213970615468778,0.0305453699836168,0.480361267594463
2014-01-01,"operatingMargin",0.0675713628768992,0,0.184868355638588
2014-01-01,"ROE",0.16608451655418,-0.827581396713341,0.757627861992717
2014-01-01,"ROIC",0.131871779884832,0.00613570009105755,0.413545431547032
2014-01-01,"CAPEX",0.0292364951790542,0.0107020869587018,0.0958325791269233
2014-01-01,"debt",0.534115221894323,0.235557954934302,0.818985497300953
2014-01-01,"netRepurchasesRevenue",0.000723029729744356,-0.00231763045582332,0.0635757885277235
2014-01-01,"netInterestExptoOpInc",-0.0824212284625862,-0.373936156093209,0.0047242642549062
2015-01-01,"RD",0,0,0.00678525577689466
2015-01-01,"SA",0.224768514471301,0.0330226671269129,0.501764334383768
2015-01-01,"operatingMargin",0.0621694123909792,-0.0238762301640788,0.173550904646707
2015-01-01,"ROE",0.120353329839687,-1.05479452054795,0.780639608024896
