"calendarYear","metric","med","min","max"
2007-01-01,"RD",0,0,0
2007-01-01,"SA",0.0369653419286609,0,0.142641935601551
2007-01-01,"operatingMargin",0.159639462136369,0,0.458451810669765
2007-01-01,"ROE",0.254942574494129,-0.0508471848334901,0.704645601982455
2007-01-01,"ROIC",0.110779223688979,-0.0667105495267721,0.320947694733724
2007-01-01,"CAPEX",0.136386558331849,0,0.834660789774702
2007-01-01,"debt",0.511717181438617,0.0637680958568669,0.775122931925688
2007-01-01,"netRepurchasesRevenue",0,-0.121350073889893,0.0313161395276256
2007-01-01,"netInterestExptoOpInc",0,-0.192345761619506,0
2008-01-01,"RD",0,0,0
2008-01-01,"SA",0.0376747079915375,0,0.14219437411799
2008-01-01,"operatingMargin",0.104044560292821,-0.347669297320005,0.482783894608587
2008-01-01,"ROE",0.229344495602572,-0.439946466835756,0.572903150784747
2008-01-01,"ROIC",0.109423027085104,-0.206851992539971,0.313117018033609
2008-01-01,"CAPEX",0.149825597972928,0,0.855468457070238
2008-01-01,"debt",0.49845382561027,0.0626911285775764,0.787835145904998
2008-01-01,"netRepurchasesRevenue",0,-0.0196587443960056,0.030866150396821
2008-01-01,"netInterestExptoOpInc",0,-0.184824826061471,0.0269218551095513
2009-01-01,"RD",0,0,0
2009-01-01,"SA",0.0558857297224286,0,0.205310384781921
2009-01-01,"operatingMargin",0.0604073442711921,-0.330199206716947,0.328488452155136
2009-01-01,"ROE",0.0270485291830417,-0.494382027739332,0.393401268249848
2009-01-01,"ROIC",0.0560722320023036,-0.162638176083308,0.253358422330554
2009-01-01,"CAPEX",0.115613301035014,0,0.634922942888989
2009-01-01,"debt",0.50925423605288,0.0550988973669649,0.735556683180618
2009-01-01,"netRepurchasesRevenue",0,-0.0330626010229275,0.00213598181363742
2009-01-01,"netInterestExptoOpInc",-0.0281180960032135,-0.461356585768626,0.241777339834498
2010-01-01,"RD",0,0,0
2010-01-01,"SA",0.0505910092726878,0,0.190935910433341
2010-01-01,"operatingMargin",0.0859046286241128,-0.0343701652532817,0.369838040467951
2010-01-01,"ROE",0.112542151404062,-0.204570481574025,0.463938122962001
2010-01-01,"ROIC",0.0746049319992929,-0.0334116923812577,0.24133940664309
2010-01-01,"CAPEX",0.103461245833151,0,0.945770439032674
2010-01-01,"debt",0.505278393287465,0.140000000596046,0.756763688274683
2010-01-01,"netRepurchasesRevenue",0,-0.0566856800197944,0.00895026206764635
2010-01-01,"netInterestExptoOpInc",-0.0358529344599224,-0.505163788220503,0.0228679103072528
2011-01-01,"RD",0,0,0
2011-01-01,"SA",0.0401011592609478,0,0.162943751489047
2011-01-01,"operatingMargin",0.127794508220018,0,0.454017369391453
2011-01-01,"ROE",0.158959551803318,-0.324135683715223,0.59436904493987
