"calendarYear","metric","med","min","max"
2007-01-01,"RD",0,0,0.0828007557234657
2007-01-01,"SA",0.243934001941119,0,0.516247024389997
2007-01-01,"operatingMargin",0.0984075466742217,-0.160989215284254,0.254332219721665
2007-01-01,"ROE",0.0552550794670066,-0.660332753509775,0.694385273101286
2007-01-01,"ROIC",0.0733823135770266,-0.137577563000593,0.341856736524004
2007-01-01,"CAPEX",0.0666280135573455,0.0110297143369244,0.262733019137102
2007-01-01,"debt",0.524801046609726,0.208879972194747,0.88531062924575
2007-01-01,"netRepurchasesRevenue",0,-0.0537648384373237,0.157079325364828
2007-01-01,"netInterestExptoOpInc",0,-0.191658858068505,0.0294500877267954
2008-01-01,"RD",0,0,0.101166236442207
2008-01-01,"SA",0.252192218313068,0,0.554531504452669
2008-01-01,"operatingMargin",0.0178024254412205,-0.794003118469256,0.294852279687029
2008-01-01,"ROE",-0.00157291388962943,-1.1376146528117,1.21804444853366
2008-01-01,"ROIC",0.0217765263661706,-0.618000174396996,0.3154496109266
2008-01-01,"CAPEX",0.0563406298405768,0.014293021232276,0.223335858184699
2008-01-01,"debt",0.58497000095074,0.158717903562628,0.934745746137352
2008-01-01,"netRepurchasesRevenue",0.000621385168298508,-0.0106099169850156,0.0821055235742334
2008-01-01,"netInterestExptoOpInc",0,-0.255580030014701,0.0955001810143892
2009-01-01,"RD",0,0,0.120209837042215
2009-01-01,"SA",0.27462109098417,0.0793638707718286,0.626332180070519
2009-01-01,"operatingMargin",0.0777127268429761,-0.29448759805757,0.300724381205402
2009-01-01,"ROE",0.00459532963317207,-0.617620074233798,0.647797142399598
2009-01-01,"ROIC",0.0564541026841978,-0.424773268483553,0.466536100615524
2009-01-01,"CAPEX",0.0285529871125405,0.00987920174867357,0.189070255757716
2009-01-01,"debt",0.614401200559855,0.191773713156089,1.02757769476938
2009-01-01,"netRepurchasesRevenue",0,-0.00060918324602769,0.030667410778853
2009-01-01,"netInterestExptoOpInc",-0.000998502748038873,-0.547159445453287,0.189128191084628
2010-01-01,"RD",0,0,0.128303945977286
2010-01-01,"SA",0.259311315318204,0.0495097609199793,0.633953053031141
2010-01-01,"operatingMargin",0.105464357994153,-0.187739463601533,0.309079349936603
2010-01-01,"ROE",0.0747875354107649,-0.653603349859477,0.667959895725845
2010-01-01,"ROIC",0.083968253968254,-0.101110689061832,0.550782643938821
2010-01-01,"CAPEX",0.0378407113521867,0.00780487804878049,0.17592
2010-01-01,"debt",0.60270465624834,0.203512393233799,1.03791477066448
2010-01-01,"netRepurchasesRevenue",0,-0.00379188392282024,0.0580635336690081
2010-01-01,"netInterestExptoOpInc",-0.116212795603555,-0.845223984101329,0.00660518275266491
2011-01-01,"RD",0,0,0.136060473281827
2011-01-01,"SA",0.263261858312679,0.0330173303702913,0.614043818639808
2011-01-01,"operatingMargin",0.0887489068196545,-0.199980363729343,0.297082784172508
2011-01-01,"ROE",0.0857261737383713,-0.619331206230913,0.588262930149539
2011-01-01,"ROIC",0.0710228461631365,-0.250497036662442,0.301836193767781
2011-01-01,"CAPEX",0.0355519299216199,0.0049680624556423,0.185828402718627
2011-01-01,"debt",0.596355837947035,0.197497440583299,1.05798964779238
2011-01-01,"netRepurchasesRevenue",0,-0.00581440092216667,0.0959540726675955
2011-01-01,"netInterestExptoOpInc",-0.0388542623586878,-0.789641941024986,0.0252995994441006
2012-01-01,"RD",0,0,0.149120514858731
2012-01-01,"SA",0.280275248752367,0.0217731851090115,0.633157860199568
2012-01-01,"operatingMargin",0.0899267072949172,-0.320970875924927,0.257193878278524
2012-01-01,"ROE",0.0472279260780287,-0.879642182754889,0.85893941147949
2012-01-01,"ROIC",0.0622121481814406,-0.384896723749876,0.263076124442388
2012-01-01,"CAPEX",0.037360950047222,0.00954140948729879,0.159583347349054
2012-01-01,"debt",0.596691786976716,0.202903753134824,0.99743571925509
2012-01-01,"netRepurchasesRevenue",0,-0.00852805826604341,0.0807012562992405
2012-01-01,"netInterestExptoOpInc",-0.0304513333860905,-0.813381437657474,0.049294670846395
2013-01-01,"RD",0,0,0.164628477318816
2013-01-01,"SA",0.283847531325364,0.0647362440625303,0.589565042206615
2013-01-01,"operatingMargin",0.0762316630583565,-0.137669499013253,0.242217730898577
2013-01-01,"ROE",0.026342216706718,-0.847603966417281,1.34240219983205
2013-01-01,"ROIC",0.0563461866900841,-0.241114076152671,0.268519814558095
2013-01-01,"CAPEX",0.0454180071429832,0.00949148683870438,0.179392539551381
2013-01-01,"debt",0.591610210288119,0.183375209598592,0.93300209790436
2013-01-01,"netRepurchasesRevenue",0,-0.0324741033351085,0.112855788696988
2013-01-01,"netInterestExptoOpInc",-0.0350861065915259,-0.694030471129406,0.0885773440485367
2014-01-01,"RD",0,0,0.179524048772681
2014-01-01,"SA",0.280740613907643,0.0795567319958126,0.7156708866307
2014-01-01,"operatingMargin",0.0717198872911627,-0.298881333737492,0.250367293016023
2014-01-01,"ROE",-0.0325456386048571,-0.824312519890966,0.675525901908917
2014-01-01,"ROIC",0.0625320064998485,-0.176498489985185,0.234233681239563
2014-01-01,"CAPEX",0.0435955056179775,0.0110574368901177,0.179949432337689
2014-01-01,"debt",0.580514501146723,0.186184729213415,0.975063118853753
2014-01-01,"netRepurchasesRevenue",0,-0.134040872230736,0.113616308236924
2014-01-01,"netInterestExptoOpInc",-0.0442359264645516,-0.6305015084558,0.041967347889096
2015-01-01,"RD",0,0,0.186773422128173
2015-01-01,"SA",0.272715284238474,0.0792492371951663,0.740724086685677
